baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LOC117815715	9.26548685221965	-2.75033080715086	1.02670598012444	-2.67879106617992	0.00738884826927074	0.0131744611044306
LOC117815219	163.737867439437	-0.303639735252718	0.356817618383668	-0.850966206848648	0.394788125054152	0.456883365636858
LOC117823165	29.6615160607639	-1.6153070856008	0.452941556987524	-3.56625940075818	0.000362112952554131	0.00083109782014572
LOC117812852	303.696182973325	-0.602866892733158	0.283666543990077	-2.1252661108821	0.0335644143578513	0.0517596537707057
emc3	66.793040209775	-2.14367397079442	0.39895437593349	-5.37323087578264	7.73382007082507e-08	3.26449049260874e-07
usp4	850.078215670452	0.0415816079426114	0.396303200545771	0.104923724777764	0.916436333223817	0.930487782938832
gpx1b	992.704024396029	1.46656959061768	0.294198704008813	4.98496278411118	6.19737404516837e-07	2.26452771558235e-06
fancd2	623.174824138545	-0.786292152003085	0.339061894995785	-2.31902246642271	0.0203938181890332	0.0330170416649337
tex264a	141.673452296681	-0.830019494049844	0.274468605689926	-3.02409629678207	0.002493770479723	0.00489670484962872
LOC117819120	0.987454847160625	-3.45935441205832	2.78312582385716	-1.24297449378842	0.213877232642272	0.269334858120814
grm2a	1.96369931803595	-4.20576787562277	1.25183499125061	-3.35968231038271	0.000780321471056065	0.00168871937473062
parp3	144.243893763281	-4.53518887019401	0.656216174053161	-6.91112022153024	4.80841326595429e-12	3.53201689817924e-11
gpr61l	0.318868369834393	-1.99828304249688	2.76577492247175	-0.722503854619893	0.469984756336841	NA
LOC117815285	0.153737480699073	-1.52525535853755	3.77932977109425	-0.403578266761288	0.686522870024863	NA
cav3	0.209723445869653	-1.75663555836685	3.77390436339365	-0.465469018082698	0.641595618765959	NA
oxtr	1.18278037392032	-4.1761921321207	1.91215487246671	-2.1840239994438	0.0289604845875125	0.0453649780277923
rad18	92.0687945807872	-0.657710612496047	0.223844164105592	-2.93825222169201	0.00330068377621972	0.00634283044313891
srgap3	35.6468875450314	-2.53831950218143	0.551506460109019	-4.60251998078077	4.17409504114069e-06	1.34005079558457e-05
LOC117818797	2.60324636903367	-5.22980531582801	1.39870379939114	-3.7390370413697	0.000184726509336829	0.000448387105009643
