Symbol	GOs
zgc:172270	GO:0005901,GO:0060090,GO:0070836,GO:0070836
si:ch211-213o11.11	GO:0004930,GO:0004930,GO:0005768,GO:0005886,GO:0007186,GO:0007186,GO:0043235
LOC117812335	GO:0003677,GO:0003714,GO:0005634,GO:0045666,GO:0045746
rrp9	GO:0005515,GO:0030515,GO:0032040
grm2b	GO:0001641,GO:0007216,GO:0016020,GO:0051966
LOC117814137	GO:0000421,GO:0005634,GO:0005657,GO:0005789,GO:0061709,GO:0106300
LOC117814143	GO:0004602,GO:0004602,GO:0005739,GO:0005829,GO:0006749,GO:0010269,GO:0042542,GO:0042744
brk1	GO:0007015,GO:0008064,GO:0031209,GO:0044877,GO:0048870
LOC117810871	GO:0000398,GO:0003723,GO:0003723,GO:0005634
slc38a3b	GO:0003333,GO:0005290,GO:0006867,GO:0006868,GO:0015182,GO:0015186,GO:0015817
LOC117820730	GO:0001664,GO:0003924,GO:0003924,GO:0005525,GO:0005834,GO:0007188,GO:0007188,GO:0007214,GO:0031683,GO:0031683
inka1b	GO:0005634,GO:0019901,GO:0030291
