SI16_21G	SI16_23G	SI18_30G	SI18_48G	SI18_52G	SI16_22G	SI18_15G	SI18_16G	SI18_18G	SI18_22G	SI16_1G	SI16_2G	SI16_3G	SI18_47G	SI18_49G
LOC117816687	0	0	2	2	0	0	1	0	0	1	8	0	7	64	24
LOC117817869	0	0	0	0	0	1	0	0	0	0	2	1	1	6	2
irf6	2577	1890	1941	1616	2412	882	1390	987	711	1742	73	63	236	301	95
eps8l3a	0	0	0	0	1	3	2	0	0	0	8	4	4	40	19
LOC117818349	35	55	27	34	28	67	23	16	30	40	58	113	161	320	144
LOC117818381	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
LOC117818372	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0
LOC117823793	0	1	1	1	1	16	3	0	0	2	24	32	83	261	93
LOC117813184	302	296	100	111	119	153	40	19	19	74	217	205	188	195	115
LOC117816284	0	0	0	1	1	2	0	0	0	0	3	2	5	27	4
LOC117816330	0	3	0	2	1	13	3	6	2	13	7	7	24	53	34
strip1	593	697	455	402	496	445	264	123	90	281	235	258	346	367	234
LOC117814691	40	84	14	45	16	84	28	30	44	26	111	99	189	302	198
srsf3b	787	1155	424	922	746	1740	180	89	234	155	1550	1507	1963	1784	1464
cdkn1a	44	41	15	20	24	234	69	17	175	103	90	38	170	1390	610
tmcc2	0	0	1	0	0	1	0	1	0	1	14	13	30	47	11
usp49	99	154	68	43	36	149	23	16	28	30	426	403	336	389	177
med20	227	365	195	250	250	342	244	181	204	239	98	71	152	294	182
bysl	931	937	880	936	1069	698	512	263	187	507	363	356	632	501	292
ccnd3	564	693	576	631	653	536	372	218	252	326	683	575	598	955	599
nuak2	288	459	53	71	112	216	13	20	11	23	28	33	56	157	85
dstyk	465	331	268	298	388	177	128	33	42	146	425	371	311	275	152
celsr2	29	15	16	5	12	25	1	5	7	4	43	43	94	258	99
capzb	1268	1078	894	815	965	1059	620	495	612	739	1924	2452	2048	1723	1181
micos10	183	292	206	248	157	487	265	293	267	210	184	317	288	375	333
nbl1	1	2	1	0	1	25	1	0	0	1	23	26	59	83	38
LOC117814950	1	0	1	3	1	7	1	1	1	0	7	11	29	83	31
LOC117815044	0	22	3	1	0	111	0	11	1	0	0	0	1	1	0
LOC117814735	0	0	0	4	3	10	1	2	2	1	7	4	6	71	22
LOC117814822	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1
LOC117814801	0	1	0	0	0	2	0	0	1	0	3	2	2	10	2
fndc10	1	6	5	2	8	8	1	2	0	3	17	13	33	91	26
ssu72	321	372	126	199	178	418	88	43	121	78	967	744	661	623	397
